customerId,orderDate
590,2010-10-13
543,2012-02-20
557,2011-07-15
557,2011-07-15
557,2011-07-15
557,2011-07-15
257,2011-10-22
257,2011-10-22
210,2011-11-02
196,2011-03-17
602,2009-01-19
282,2009-06-03
282,2009-06-03
305,2010-12-17
305,2010-12-17
267,2009-04-16
604,2010-01-28
493,2012-11-18
424,2012-05-07
424,2012-05-07
424,2012-05-07
107,2010-06-10
107,2010-06-10
362,2012-04-30
171,2011-10-20
662,2011-09-11
235,2010-08-07
45,2012-04-04
45,2012-04-04
540,2010-12-27
105,2011-04-06
74,2009-06-17
74,2009-06-17
74,2009-06-17
464,2011-05-24
464,2011-05-24
749,2010-12-28
441,2010-12-28
158,2010-10-26
158,2010-10-26
390,2009-09-28
162,2010-12-28
162,2010-12-28
162,2010-12-28
177,2010-06-28
290,2009-05-16
200,2009-01-05
662,2012-01-12
242,2012-10-01
242,2012-10-01
626,2010-07-15
92,2012-03-18
92,2012-03-18
29,2009-03-25
29,2009-03-25
246,2012-03-19
604,2010-10-16
323,2011-06-03
323,2011-06-03
139,2010-12-30
245,2009-06-13
762,2010-09-19
762,2010-09-19
758,2009-12-18
649,2012-03-02
310,2011-01-24
310,2011-01-24
724,2012-12-15
324,2010-09-26
93,2009-02-05
93,2009-02-05
232,2011-10-30
232,2011-10-30
540,2011-08-20
173,2011-07-19
466,2011-03-04
466,2011-03-04
180,2011-12-26
286,2012-10-07
264,2011-07-10
132,2012-08-17
646,2011-05-19
646,2011-05-19
544,2011-04-30
256,2010-08-28
256,2010-08-28
63,2009-09-20
63,2009-09-20
63,2009-09-20
478,2012-07-12
478,2012-07-12
478,2012-07-12
498,2011-08-01
544,2010-01-26
355,2012-10-20
355,2012-10-20
224,2011-06-17
224,2011-06-17
123,2012-11-30
123,2012-11-30
517,2010-01-22
517,2010-01-22
148,2011-03-24
265,2012-04-30
77,2009-12-02
87,2009-11-21
119,2010-02-26
287,2011-09-08
607,2010-01-01
607,2010-01-01
607,2010-01-01
316,2010-03-01
316,2010-03-01
25,2011-07-15
251,2010-06-01
617,2011-06-16
672,2010-04-16
672,2010-04-16
684,2010-09-25
556,2011-12-03
486,2011-03-17
486,2011-03-17
729,2012-02-17
27,2011-01-04
27,2011-01-04
11,2011-07-04
678,2010-11-23
678,2010-11-23
693,2012-04-18
419,2009-02-12
197,2009-05-22
87,2011-10-07
209,2009-06-14
615,2012-06-08
615,2012-06-08
132,2010-06-19
418,2011-11-14
125,2010-03-08
94,2010-06-02
94,2010-06-02
349,2009-09-30
394,2009-07-26
392,2011-03-01
392,2011-03-01
666,2012-10-01
666,2012-10-01
726,2009-12-16
726,2009-12-16
628,2012-08-04
520,2009-09-20
610,2009-05-05
610,2009-05-05
576,2011-05-19
576,2011-05-19
384,2011-05-14
276,2012-06-20
276,2012-06-20
276,2012-06-20
327,2009-04-19
678,2011-05-30
430,2009-11-25
505,2010-09-04
53,2012-06-02
466,2009-01-05
466,2009-01-05
94,2009-08-31
484,2012-02-19
185,2010-04-25
209,2009-02-26
209,2009-02-26
674,2010-02-20
398,2012-05-20
494,2011-08-21
324,2011-09-18
706,2012-02-14
30,2012-02-14
30,2012-02-14
706,2012-02-14
140,2012-08-23
721,2012-11-19
301,2009-04-08
69,2011-11-06
622,2012-04-25
253,2009-06-19
230,2012-04-18
230,2012-04-18
230,2012-04-18
614,2010-02-04
18,2010-01-25
674,2010-01-10
513,2012-02-27
513,2012-02-27
560,2012-05-31
560,2012-05-31
652,2010-05-13
652,2010-05-13
106,2009-07-04
332,2009-09-12
168,2009-05-12
328,2011-05-18
328,2011-05-18
328,2011-05-18
118,2012-04-15
118,2012-04-15
259,2012-10-27
124,2012-06-17
455,2010-08-16
455,2010-08-16
455,2010-08-16
695,2010-04-26
352,2009-12-20
352,2009-12-20
256,2010-03-12
256,2010-03-12
97,2011-08-15
491,2011-08-09
534,2009-12-05
534,2009-12-05
534,2009-12-05
534,2009-12-05
534,2009-12-05
634,2011-01-09
634,2011-01-09
468,2012-10-14
752,2012-08-27
401,2010-10-13
480,2012-02-14
598,2011-06-17
329,2011-03-09
329,2011-03-09
174,2012-08-04
119,2010-09-14
119,2010-09-14
10,2012-12-27
418,2011-09-12
418,2011-09-12
632,2010-03-02
632,2010-03-02
688,2010-07-16
166,2011-02-07
166,2011-02-07
166,2011-02-07
668,2011-08-19
204,2009-05-07
473,2011-10-17
508,2010-12-29
367,2012-05-18
367,2012-05-18
539,2011-05-06
329,2010-12-23
625,2009-08-19
625,2009-08-19
625,2009-08-19
53,2012-03-24
684,2011-03-13
256,2010-11-08
767,2012-07-11
698,2012-11-20
255,2009-03-06
255,2009-03-06
402,2009-05-04
402,2009-05-04
301,2010-12-04
195,2012-04-15
421,2009-05-07
478,2010-12-01
4,2012-03-19
4,2012-03-19
4,2012-03-19
104,2010-01-12
529,2010-09-22
300,2010-10-30
300,2010-10-30
170,2009-12-14
697,2009-03-25
697,2009-03-25
106,2009-05-29
52,2009-01-17
608,2012-03-04
608,2012-03-04
740,2009-03-15
732,2010-11-29
326,2009-09-01
326,2009-09-01
696,2011-10-05
206,2012-09-06
206,2012-09-06
565,2010-06-20
559,2012-03-14
646,2012-05-05
646,2012-05-05
698,2010-11-14
698,2010-11-14
477,2009-06-01
477,2009-06-01
689,2012-04-12
3,2011-02-06
3,2011-02-06
159,2012-06-07
159,2012-06-07
37,2010-09-03
489,2010-03-16
608,2009-10-18
608,2009-10-18
608,2009-10-18
282,2009-03-28
627,2012-09-13
627,2012-09-13
53,2012-09-05
429,2010-03-12
597,2009-06-02
327,2011-09-12
327,2011-09-12
759,2011-04-30
759,2011-04-30
302,2012-07-09
302,2012-07-09
302,2012-07-09
302,2012-07-09
182,2009-06-29
182,2009-06-29
182,2009-06-29
732,2010-01-14
363,2012-03-05
363,2012-03-05
363,2010-05-10
476,2010-01-08
518,2012-08-01
113,2010-04-12
130,2012-10-21
174,2011-01-01
174,2011-01-01
551,2010-02-22
551,2010-02-22
351,2010-01-25
351,2010-01-25
351,2010-01-25
764,2011-07-25
190,2010-06-28
299,2011-09-03
482,2011-05-01
269,2010-12-14
357,2010-05-29
385,2010-08-19
94,2009-01-16
94,2009-01-16
253,2009-03-11
653,2010-10-28
758,2009-08-21
306,2011-09-10
321,2010-07-14
321,2010-07-14
551,2011-06-23
405,2009-03-05
316,2011-07-15
636,2012-08-26
685,2012-08-14
45,2010-06-19
45,2010-06-19
45,2010-06-19
551,2009-03-20
223,2011-10-10
223,2011-10-10
713,2010-05-24
401,2012-09-04
401,2012-09-04
347,2012-07-31
347,2012-07-31
347,2012-07-31
469,2010-11-18
469,2010-11-18
214,2010-09-03
214,2010-09-03
423,2011-12-13
423,2011-12-13
423,2011-12-13
151,2011-09-07
134,2010-10-21
134,2010-10-21
42,2012-10-23
116,2010-09-23
160,2010-05-03
160,2010-05-03
453,2011-10-16
453,2011-10-16
741,2011-09-22
741,2011-09-22
693,2010-12-17
729,2012-01-23
729,2012-01-23
729,2012-01-23
598,2012-04-29
435,2010-06-07
44,2009-04-08
418,2009-05-20
627,2010-11-18
627,2010-11-18
627,2010-11-18
627,2010-11-18
231,2009-04-02
231,2009-04-02
303,2012-02-06
303,2012-02-06
233,2009-04-17
233,2009-04-17
47,2011-07-19
353,2011-07-19
469,2010-11-24
351,2009-08-18
351,2009-08-18
351,2009-08-18
351,2009-08-18
342,2009-10-09
342,2009-10-09
342,2009-10-09
739,2009-09-19
436,2009-04-18
436,2009-04-18
739,2009-12-11
739,2009-12-11
739,2009-12-11
427,2011-09-08
427,2011-09-08
513,2012-03-09
513,2012-03-09
436,2010-01-15
436,2010-01-15
19,2009-05-04
545,2011-08-21
545,2011-08-21
551,2011-01-22
49,2012-09-18
49,2012-09-18
196,2012-03-11
196,2012-03-11
276,2010-03-02
663,2009-03-30
663,2009-03-30
302,2011-04-25
578,2010-12-09
360,2011-05-02
360,2011-05-02
360,2011-05-02
291,2011-11-07
2,2010-05-04
672,2012-10-29
755,2010-04-11
563,2009-11-20
529,2011-11-29
153,2009-01-07
153,2009-01-07
153,2009-01-07
290,2010-02-11
290,2010-02-11
439,2010-09-15
439,2010-09-15
116,2010-08-04
632,2010-07-23
632,2010-07-23
247,2009-12-16
292,2009-08-09
449,2009-02-08
760,2011-11-09
153,2012-01-29
639,2010-12-20
542,2012-06-02
618,2009-07-14
5,2012-12-23
483,2012-04-10
483,2012-04-10
589,2012-10-08
525,2011-11-14
284,2011-03-16
767,2011-12-31
767,2011-12-31
128,2012-11-02
387,2011-07-14
306,2012-11-18
193,2010-05-20
345,2009-11-04
203,2012-09-15
203,2012-09-15
296,2012-08-22
296,2012-08-22
579,2011-07-28
579,2011-07-28
737,2011-09-22
12,2011-07-03
12,2011-07-03
611,2009-10-29
611,2009-10-29
611,2009-10-29
611,2009-10-29
595,2009-06-22
595,2009-06-22
248,2010-05-31
64,2009-12-21
64,2009-12-21
226,2009-07-27
307,2011-10-02
59,2010-01-30
59,2010-01-30
313,2010-08-17
710,2011-01-07
710,2011-01-07
555,2009-11-23
555,2009-11-23
555,2009-11-23
596,2010-08-23
216,2012-10-25
477,2009-09-25
477,2009-09-25
338,2012-05-02
387,2011-12-21
420,2011-03-15
555,2009-05-17
356,2011-06-16
78,2012-09-22
78,2012-09-22
290,2012-10-23
712,2009-11-22
712,2009-11-22
364,2010-12-04
364,2010-12-04
596,2011-03-18
596,2011-03-18
596,2011-03-18
596,2011-03-18
699,2009-05-25
372,2010-12-07
372,2010-12-07
299,2010-05-05
252,2011-11-26
231,2010-06-16
231,2010-06-16
540,2009-07-05
540,2009-07-05
136,2012-05-27
136,2012-05-27
244,2009-03-26
69,2012-06-02
69,2012-06-02
69,2012-06-02
232,2012-10-05
232,2012-10-05
56,2012-12-09
56,2012-12-09
610,2012-01-16
641,2010-02-02
568,2010-09-28
470,2009-09-10
470,2009-09-10
681,2011-02-23
301,2011-04-29
151,2009-04-07
683,2010-05-25
683,2010-05-25
683,2010-05-25
683,2010-05-25
282,2010-12-05
282,2010-12-05
244,2009-04-23
18,2012-09-16
18,2012-09-16
541,2011-02-21
175,2009-10-04
175,2009-10-04
175,2009-10-04
593,2012-04-25
593,2012-04-25
593,2012-04-25
696,2010-05-20
337,2010-12-20
435,2012-08-18
435,2012-08-18
435,2012-08-18
523,2010-03-08
685,2011-03-16
431,2010-06-27
431,2010-06-27
309,2012-03-26
309,2012-03-26
573,2012-03-23
355,2010-05-06
355,2010-05-06
384,2011-01-03
239,2010-06-17
239,2010-06-17
19,2010-06-01
19,2010-06-01
734,2010-11-13
734,2010-11-13
16,2010-03-23
